#problem,x_k,p_x_k,y_k,p_y_k,z_k,p_z_k,x_u,p_x_u,y_u,p_y_u,corr,ev_u,p_win,probability_agent_answer,zero_one_agent_answer,p_win_agent_answer
40,10,0.3,24,0.1,-9,0.6,13,0.3,-7,0.7,-1,-1,0.6,0.4,0,0.6
41,11,0.4,16,0.1,-12,0.5,14,0.4,-11,0.6,-1,-1,0.5,0.5,0,0.5
42,11,0.4,31,0.1,-15,0.5,12,0.5,-14,0.5,-1,-1,0.5,0.6,0,0.5
43,12,0.4,17,0.1,-13,0.5,14,0.4,-11,0.6,-1,-1,0.5,0.5,0,0.5
44,13,0.4,18,0.1,-14,0.5,17,0.4,-13,0.6,-1,-1,0.5,0.5,0,0.5
45,15,0.3,21,0.1,-11,0.6,20,0.3,-10,0.7,-1,-1,0.6,0.4,0,0.6
46,6,0.4,21,0.1,-9,0.5,7,0.4,-8,0.6,-1,-2,0.5,0.3,0,0.5
47,6,0.5,18,0.1,-12,0.4,7,0.5,-11,0.5,-1,-2,0.4,0.4,0,0.4
48,7,0.3,33,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
49,7,0.4,27,0.1,-11,0.5,10,0.4,-10,0.6,-1,-2,0.5,0.3,0,0.5
50,7,0.5,17,0.1,-13,0.4,8,0.5,-12,0.5,-1,-2,0.4,0.4,0,0.4
51,7,0.5,25,0.1,-15,0.4,9,0.5,-13,0.5,-1,-2,0.4,0.4,0,0.4
52,8,0.4,28,0.1,-12,0.5,10,0.4,-10,0.6,-1,-2,0.5,0.3,0,0.5
53,8,0.4,43,0.1,-15,0.5,10,0.5,-14,0.5,-1,-2,0.5,0.4,0,0.5
54,9,0.4,29,0.1,-13,0.5,13,0.4,-12,0.6,-1,-2,0.5,0.3,0,0.5
55,9,0.5,15,0.1,-15,0.4,10,0.5,-14,0.5,-1,-2,0.4,0.4,0,0.4
56,10,0.3,24,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
57,10,0.4,35,0.1,-15,0.5,16,0.4,-14,0.6,-1,-2,0.5,0.3,0,0.5
58,11,0.3,21,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
59,12,0.4,27,0.1,-15,0.5,16,0.4,-14,0.6,-1,-2,0.5,0.3,0,0.5
60,14,0.3,30,0.1,-12,0.6,19,0.3,-11,0.7,-1,-2,0.6,0.2,0,0.6
